Bye,Struggle,Theo,Individual,David is a robot,People relationships,Family,Abstract,Robots,Emotions
goodbye,crumbs,strange,i'm,robots,theodore,david,tunnel,robot,place
cut,guy,theo,don't,l'enfant,samantha,monica,cat,robots,playing
girl,favor,enters,it's,david...i'm,amy,henry,dusk,detective,papers
trouble,robot,answer,human,arena,beat,joe,working,sonny,felt
built,dumbest,live,that's,forget,don,teddy,break,lanning,piece
wouldn,hansel,stares,good,woods,yeah,martin,version,usr,start
words,robotic,avatar,day,mommy's,good,fairy,fuck,man,nice
dearest,del,mall,thing,pick,int,real,lewman,laws,lunch
good-bye,harm,closed,you're,fifty,continued,boy,ear,hell,wasn
dr.know,looked,back,made,hundred,cont,mecha,moving,spooner,melancholy
purpose,dreams,play,home,david's,love,blue,hit,v.i.k.i,lonely
lonely,order,laying,didn't,desire,catherine,love,wide,lanning's,found
blood,inject,speaking,stop,weep,paul,mommy,bit,john,sense
attendant,calvin's,photo,put,lived,night,hobby,ocean,robertson,work
roadside,older,tooth,life,information,voice,make,os's,shit,imagines
sky,revolution,desktop,people,ladies,hey,papa,ellie,murder,nervous
created,light,casual,call,machine,feel,bedroom,isabella's,guy,sun
loved,blithely,platform,yeah,wide,device,child,hears,fine,umm
wore,gas,turned,i've,dormira,apartment,safe,runs,spoon,reaches
pea,survival,older,hurt,dodo,laughs,johnson-johnson,gasps,you're,crowded