Country,Happiness score,,
Norway,7.537,,
Denmark,7.522,,
Iceland,7.504,,
Switzerland,7.494,,
Finland,7.469,,
Netherlands,7.377,,
Canada,7.316,,
New Zealand,7.314,,
Australia,7.284,,
Sweden,7.284,,
Israel,7.213,,
Costa Rica,7.079,,
Austria,7.006,,
United States,6.993,,
Ireland,6.977,,
Germany,6.951,,
Belgium,6.891,,
Luxembourg,6.863,,
United Kingdom,6.714,,
Chile,6.652,,
United Arab Emirates,6.648,,
Brazil,6.635,,
Czech Republic,6.609,,
Argentina,6.599,,
Mexico,6.578,,
Singapore,6.572,,
Malta,6.527,,
Uruguay,6.454,,
Guatemala,6.454,,
Panama,6.452,,
France,6.442,,
Thailand,6.424,,
Taiwan Province of China,6.422,,
Spain,6.403,,
Qatar,6.375,,
Colombia,6.357,,
Saudi Arabia,6.344,,
Trinidad and Tobago,6.168,,
Kuwait,6.105,,
Slovakia,6.098,,
Bahrain,6.087,,
Malaysia,6.084,,
Nicaragua,6.071,,
Ecuador,6.008,,
El Salvador,6.003,,
Poland,5.973,,
Uzbekistan,5.971,,
Italy,5.964,,
Russia,5.963,,
Belize,5.956,,
Japan,5.920,,
Lithuania,5.902,,
Algeria,5.872,,
Latvia,5.850,,
South Korea,5.838,,
Moldova,5.838,,
Romania,5.825,,
Bolivia,5.823,,
Turkmenistan,5.822,,
Kazakhstan,5.819,,
North Cyprus,5.810,,
Slovenia,5.758,,
Peru,5.715,,
Mauritius,5.629,,
Cyprus,5.621,,
Estonia,5.611,,
Belarus,5.569,,
Libya,5.525,,
Turkey,5.500,,
Paraguay,5.493,,
Hong Kong S.A.R. of China,5.472,,
Philippines,5.430,,
Serbia,5.395,,
Jordan,5.336,,
Hungary,5.324,,
Jamaica,5.311,,
Croatia,5.293,,
Kosovo,5.279,,
China,5.273,,
Pakistan,5.269,,
Indonesia,5.262,,
Venezuela,5.250,,
Montenegro,5.237,,
Morocco,5.235,,
Azerbaijan,5.234,,
Dominican Republic,5.230,,
Greece,5.227,,
Lebanon,5.225,,
Portugal,5.195,,
Bosnia and Herzegovina,5.182,,
Honduras,5.181,,
Macedonia,5.175,,
Somalia,5.151,,
Vietnam,5.074,,
Nigeria,5.074,,
Tajikistan,5.041,,
Bhutan,5.011,,
Kyrgyzstan,5.004,,
Nepal,4.962,,